subject_id,label,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,is_synthetic
ET_02,other,0.0,0.1648,0.31506,0.95527,0.242,19.02,0.35,True
ET_02,other,0.01,0.27262,0.31857,1.00967,12.43,17.454,5.546,True
ET_02,other,0.02,0.32594,0.29272,1.03076,22.385,10.748,11.833,True
ET_02,other,0.03,0.33267,0.19591,1.03024,26.466,0.19,12.943,True
ET_02,other,0.04,0.29676,0.15618,1.02821,26.494,-7.593,11.772,True
ET_02,other,0.05,0.28216,0.10465,1.00432,15.793,-14.136,8.003,True
ET_02,other,0.06,0.19626,0.05136,0.95766,5.474,-18.351,3.588,True
ET_02,other,0.07,0.08085,0.06622,0.92262,-7.216,-19.158,-4.844,True
ET_02,other,0.08,0.00701,0.09375,0.9185,-18.274,-13.89,-8.786,True
ET_02,other,0.09,-0.07935,0.1685,0.88765,-24.549,-3.943,-14.299,True
ET_02,other,0.1,-0.03965,0.25621,0.84739,-24.91,4.242,-13.775,True
ET_02,other,0.11,0.01005,0.29563,0.87127,-21.635,12.879,-9.199,True
ET_02,other,0.12,0.08806,0.34944,0.92767,-9.262,19.471,-5.049,True
ET_02,other,0.13,0.18968,0.3468,0.94053,4.139,19.712,1.565,True
ET_02,other,0.14,0.29993,0.32098,0.9925,15.932,16.234,6.521,True
ET_02,other,0.15,0.34861,0.30435,1.02486,25.133,9.717,13.309,True
ET_02,other,0.16,0.36338,0.16619,1.00234,28.182,-2.279,13.686,True
ET_02,other,0.17,0.33542,0.10566,1.01735,22.242,-10.393,11.193,True
ET_02,other,0.18,0.24598,0.07237,0.95183,12.375,-17.719,6.693,True
ET_02,other,0.19,0.1579,0.05832,0.94694,1.767,-20.429,0.563,True
ET_02,other,0.2,0.07614,0.07127,0.90709,-13.972,-18.304,-7.108,True
ET_02,other,0.21,-0.02301,0.12341,0.88966,-22.807,-11.88,-12.332,True
ET_02,other,0.22,-0.03473,0.19137,0.84838,-28.245,-3.752,-14.539,True
ET_02,other,0.23,-0.02721,0.25738,0.85175,-26.375,7.143,-13.305,True
ET_02,other,0.24,0.00924,0.30642,0.90559,-16.811,15.483,-9.913,True
ET_02,other,0.25,0.08458,0.34924,0.9386,-5.895,19.913,-1.769,True
ET_02,other,0.26,0.21626,0.33116,0.9812,8.261,19.706,4.163,True
ET_02,other,0.27,0.30933,0.31119,0.97083,19.689,14.742,9.716,True
