subject_id,label,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,is_synthetic
ET_03,other,0.0,0.16636,0.34766,0.96863,-0.406,18.073,0.698,True
ET_03,other,0.01,0.23954,0.35706,0.96046,15.747,16.129,7.409,True
ET_03,other,0.02,0.30803,0.26656,1.00582,23.523,9.826,11.126,True
ET_03,other,0.03,0.33575,0.18114,1.01929,25.756,0.201,12.845,True
ET_03,other,0.04,0.31934,0.1244,1.00885,21.425,-9.607,10.666,True
ET_03,other,0.05,0.19847,0.05747,0.97068,10.878,-18.357,6.102,True
ET_03,other,0.06,0.08054,0.05777,0.94482,-3.51,-18.599,-0.773,True
ET_03,other,0.07,-0.00488,0.10451,0.88316,-17.225,-14.85,-7.861,True
ET_03,other,0.08,-0.04574,0.14132,0.89138,-27.198,-6.286,-12.508,True
ET_03,other,0.09,-0.05251,0.23197,0.88481,-26.488,4.509,-13.879,True
ET_03,other,0.1,0.02325,0.29958,0.88775,-18.241,13.907,-9.425,True
ET_03,other,0.11,0.06901,0.33789,0.93387,-6.062,18.021,-2.122,True
ET_03,other,0.12,0.20276,0.33284,0.96443,7.455,18.569,4.882,True
ET_03,other,0.13,0.31463,0.30008,1.02569,21.64,13.407,11.705,True
ET_03,other,0.14,0.35353,0.22438,1.00958,27.326,3.867,13.707,True
ET_03,other,0.15,0.35429,0.11639,1.0434,24.953,-8.717,13.957,True
ET_03,other,0.16,0.27309,0.07966,0.97624,15.976,-15.523,7.387,True
ET_03,other,0.17,0.18766,0.04589,0.94169,1.34,-20.545,0.444,True
ET_03,other,0.18,0.03182,0.05829,0.90235,-12.126,-18.111,-6.908,True
ET_03,other,0.19,-0.04741,0.13457,0.88603,-24.095,-10.648,-12.02,True
ET_03,other,0.2,-0.05507,0.2056,0.91147,-27.912,-0.346,-13.829,True
ET_03,other,0.21,-0.0084,0.27293,0.88468,-23.701,9.969,-10.601,True
ET_03,other,0.22,0.08102,0.34446,0.91582,-12.595,18.349,-6.879,True
ET_03,other,0.23,0.16592,0.34479,0.95863,1.825,20.674,0.838,True
ET_03,other,0.24,0.29254,0.32739,0.99141,17.329,17.716,7.638,True
ET_03,other,0.25,0.36799,0.28864,1.0193,26.466,7.318,12.969,True
ET_03,other,0.26,0.33997,0.19415,0.98581,29.258,-3.142,13.178,True
ET_03,other,0.27,0.32437,0.11982,0.99293,21.785,-14.168,10.106,True
ET_03,other,0.28,0.2278,0.06789,0.98867,9.645,-20.583,4.813,True
ET_03,other,0.29,0.12642,0.06788,0.90782,-6.387,-20.281,-4.404,True
ET_03,other,0.3,0.00538,0.10317,0.85112,-20.217,-14.671,-11.3,True
ET_03,other,0.31,-0.04387,0.18353,0.84959,-28.443,-4.59,-14.994,True
ET_03,other,0.32,-0.03757,0.24791,0.8703,-27.544,7.268,-14.918,True
ET_03,other,0.33,0.02608,0.32065,0.89424,-18.448,16.178,-9.69,True
ET_03,other,0.34,0.12702,0.35532,0.95516,-3.761,23.295,-2.462,True
ET_03,other,0.35000000000000003,0.25192,0.33582,0.99734,12.953,19.141,7.31,True
ET_03,other,0.36,0.32729,0.31641,1.00218,23.308,11.698,12.21,True
